date_operation,libelle,montant,solde_avt_ope,categ,type,tranche_depense,sens,annee,mois,jour,jour_sem,jour_sem_num,weekend,quart_mois
2023-05-02,CARTE XX XX TOUPTIPRI XX,-12.24,3552.9099999999976,COURSES,CARTE,petite,debit,2023,5,2,<built-in method day_name of Timestamp object at 0x7f68fe7f27b0>,2,False,1
2023-05-02,CARTE XX XX XX XX XX,-16.7,3540.669999999998,AUTRE,CARTE,petite,debit,2023,5,2,<built-in method day_name of Timestamp object at 0x7f68fe7f2820>,2,False,1
2023-05-03,CARTE XX XX XX XX,-14.39,3523.9699999999975,AUTRE,CARTE,petite,debit,2023,5,3,<built-in method day_name of Timestamp object at 0x7f68fe7f2890>,3,False,1
2023-05-03,CARTE XX XX RAPT XX,-73.0,3509.5799999999977,TRANSPORT,CARTE,petite,debit,2023,5,3,<built-in method day_name of Timestamp object at 0x7f68fe7f2900>,3,False,1
2023-05-04,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,3436.5799999999977,AUTRE,VIREMENT,(pas une dépense),credit,2023,5,4,<built-in method day_name of Timestamp object at 0x7f68fe7f2970>,4,False,1
2023-05-04,CARTE XX XX LES ANCIENS ROBINSON XX,-17.16,4112.579999999998,COURSES,CARTE,petite,debit,2023,5,4,<built-in method day_name of Timestamp object at 0x7f68fe7f29e0>,4,False,1
2023-05-05,CARTE XX XX TOUPTIPRI XX,-3.48,4095.419999999998,COURSES,CARTE,petite,debit,2023,5,5,<built-in method day_name of Timestamp object at 0x7f68fe7f2a50>,5,False,1
2023-05-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,4091.939999999998,COTISATION BANCAIRE,AUTRE,petite,debit,2023,5,6,<built-in method day_name of Timestamp object at 0x7f68fe7f2ac0>,6,False,1
2023-05-09,CARTE XX XX XX XX,-1.44,4090.0999999999976,AUTRE,CARTE,petite,debit,2023,5,9,<built-in method day_name of Timestamp object at 0x7f68fe7f2b30>,2,False,2
2023-05-09,CARTE XX XX XX XX,-1.12,4088.6599999999976,AUTRE,CARTE,petite,debit,2023,5,9,<built-in method day_name of Timestamp object at 0x7f68fe7f2ba0>,2,False,2
2023-05-09,CARTE XX XX XX XX,-1.6,4087.5399999999977,AUTRE,CARTE,petite,debit,2023,5,9,<built-in method day_name of Timestamp object at 0x7f68fe7f2c10>,2,False,2
2023-05-09,PRELEVEMENT XX TELEPHONE XX XX,-7.02,4085.939999999998,FACTURE TELEPHONE,AUTRE,petite,debit,2023,5,9,<built-in method day_name of Timestamp object at 0x7f68fe7f2c80>,2,False,2
2023-05-09,CARTE XX XX XX XX XX,-32.0,4078.919999999998,AUTRE,CARTE,petite,debit,2023,5,9,<built-in method day_name of Timestamp object at 0x7f68fe7f2cf0>,2,False,2
2023-05-10,CARTE XX XX LES ANCIENS ROBINSON XX,-42.45,4046.919999999998,COURSES,CARTE,petite,debit,2023,5,10,<built-in method day_name of Timestamp object at 0x7f68fe7f2d60>,3,False,2
2023-05-10,CARTE XX XX CHEZ LUC XX,-9.6,4004.469999999998,RESTAURANT,CARTE,petite,debit,2023,5,10,<built-in method day_name of Timestamp object at 0x7f68fe7f2dd0>,3,False,2
2023-05-11,CARTE XX XX XX XX XX,-1.6,3994.869999999998,AUTRE,CARTE,petite,debit,2023,5,11,<built-in method day_name of Timestamp object at 0x7f68fe7f2e40>,4,False,2
2023-05-12,CARTE XX XX XX XX,-5.6,3993.269999999998,AUTRE,CARTE,petite,debit,2023,5,12,<built-in method day_name of Timestamp object at 0x7f68fe7f2eb0>,5,False,2
2023-05-15,VIREMENT PERMANENT LOYER,-345.0,3987.6699999999983,LOYER,VIREMENT,grosse,debit,2023,5,15,<built-in method day_name of Timestamp object at 0x7f68fe7f2f20>,1,False,2
2023-05-15,CARTE XX XX LES ANCIENS ROBINSON XX,-33.55,3642.6699999999983,COURSES,CARTE,petite,debit,2023,5,15,<built-in method day_name of Timestamp object at 0x7f68fe7f2f90>,1,False,2
2023-05-15,CARTE XX XX XX XX XX XX,-8.0,3609.119999999998,AUTRE,CARTE,petite,debit,2023,5,15,<built-in method day_name of Timestamp object at 0x7f68fe7f1f90>,1,False,2
2023-05-15,CARTE XX XX TOUPTIPRI XX,-12.96,3601.119999999998,COURSES,CARTE,petite,debit,2023,5,15,<built-in method day_name of Timestamp object at 0x7f68fe7f1f20>,1,False,2
2023-05-15,CARTE XX XX CHEZ LUC XX,-11.0,3588.159999999998,RESTAURANT,CARTE,petite,debit,2023,5,15,<built-in method day_name of Timestamp object at 0x7f68fe7f1eb0>,1,False,2
2023-05-18,CARTE XX XX XX XX XX,-1.6,3577.159999999998,AUTRE,CARTE,petite,debit,2023,5,18,<built-in method day_name of Timestamp object at 0x7f68fe7f1e40>,4,False,3
2023-05-19,CARTE XX XX XX XX,-12.0,3575.559999999998,AUTRE,CARTE,petite,debit,2023,5,19,<built-in method day_name of Timestamp object at 0x7f68fe7f1dd0>,5,False,3
2023-05-22,CARTE XX XX CHEZ LUC XX,-11.4,3563.559999999998,RESTAURANT,CARTE,petite,debit,2023,5,22,<built-in method day_name of Timestamp object at 0x7f68fe7f1d60>,1,False,3
2023-05-22,RETRAIT XX XX XX,-32.0,3552.159999999998,AUTRE,RETRAIT,petite,debit,2023,5,22,<built-in method day_name of Timestamp object at 0x7f68fe7f1cf0>,1,False,3
2023-05-22,CARTE XX XX XX XX XX XX,-9.72,3520.159999999998,AUTRE,CARTE,petite,debit,2023,5,22,<built-in method day_name of Timestamp object at 0x7f68fe7f1c80>,1,False,3
2023-05-22,VIREMENT XX XX XX XX XX XX XX,936.32,3510.439999999998,AUTRE,VIREMENT,(pas une dépense),credit,2023,5,22,<built-in method day_name of Timestamp object at 0x7f68fe7f1c10>,1,False,3
2023-05-22,CARTE XX XX XX XX XX XX,-2.4,4446.759999999998,AUTRE,CARTE,petite,debit,2023,5,22,<built-in method day_name of Timestamp object at 0x7f68fe7f1ba0>,1,False,3
2023-05-22,CARTE XX XX LA CCNCF XX XX,-138.24,4444.359999999998,TRANSPORT,CARTE,moyenne,debit,2023,5,22,<built-in method day_name of Timestamp object at 0x7f68fe7f1b30>,1,False,3
2023-05-23,CARTE XX XX XX XX,-3.2,4306.119999999998,AUTRE,CARTE,petite,debit,2023,5,23,<built-in method day_name of Timestamp object at 0x7f68fe7f1ac0>,2,False,3
2023-05-23,CARTE XX XX LES ANCIENS ROBINSON XX,-4.41,4302.919999999998,COURSES,CARTE,petite,debit,2023,5,23,<built-in method day_name of Timestamp object at 0x7f68fe7f1a50>,2,False,3
2023-05-24,CARTE XX XX L'EPICERIE DEMBAS XX XX,-15.81,4298.509999999998,AUTRE,CARTE,petite,debit,2023,5,24,<built-in method day_name of Timestamp object at 0x7f68fe7f19e0>,3,False,3
2023-05-24,CARTE XX XX XX XX XX,-7.84,4282.699999999999,AUTRE,CARTE,petite,debit,2023,5,24,<built-in method day_name of Timestamp object at 0x7f68fe7f1970>,3,False,3
2023-05-29,CARTE XX XX LES ANCIENS ROBINSON XX,-22.59,4274.859999999999,COURSES,CARTE,petite,debit,2023,5,29,<built-in method day_name of Timestamp object at 0x7f68fe7f1900>,1,False,4
2023-05-29,CARTE XX XX XX XX XX,-14.16,4252.269999999999,AUTRE,CARTE,petite,debit,2023,5,29,<built-in method day_name of Timestamp object at 0x7f68fe7f1890>,1,False,4
2023-05-29,RETRAIT XX XX XX,-48.0,4238.109999999999,AUTRE,RETRAIT,petite,debit,2023,5,29,<built-in method day_name of Timestamp object at 0x7f68fe7f1820>,1,False,4
2023-05-31,XX XX VIREMENT XX XX XX,-36.0,4190.109999999999,AUTRE,VIREMENT,petite,debit,2023,5,31,<built-in method day_name of Timestamp object at 0x7f68fe7f17b0>,3,False,4
2023-05-31,DON XX XX XX XX XX XX XX,-1.44,4154.109999999999,AUTRE,DON,petite,debit,2023,5,31,<built-in method day_name of Timestamp object at 0x7f68fe7f1740>,3,False,4
2023-05-31,CARTE XX XX LES ANCIENS ROBINSON XX,-6.89,4152.669999999998,COURSES,CARTE,petite,debit,2023,5,31,<built-in method day_name of Timestamp object at 0x7f68fe7f16d0>,3,False,4
2023-05-31,CARTE XX XX CHEZ LUC XX,-7.74,4145.779999999999,RESTAURANT,CARTE,petite,debit,2023,5,31,<built-in method day_name of Timestamp object at 0x7f68fe7f1660>,3,False,4
2023-06-02,CARTE XX XX RAPT XX,-73.0,4138.039999999999,TRANSPORT,CARTE,petite,debit,2023,6,2,<built-in method day_name of Timestamp object at 0x7f68fe7f15f0>,5,False,1
2023-06-06,CARTE XX XX XX XX,-5.1,4065.0399999999986,AUTRE,CARTE,petite,debit,2023,6,6,<built-in method day_name of Timestamp object at 0x7f68fe7f1580>,2,False,1
2023-06-06,CARTE XX XX XX XX,-14.39,4059.9399999999987,AUTRE,CARTE,petite,debit,2023,6,6,<built-in method day_name of Timestamp object at 0x7f68fe7f1510>,2,False,1
2023-06-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,4045.549999999999,COTISATION BANCAIRE,AUTRE,petite,debit,2023,6,6,<built-in method day_name of Timestamp object at 0x7f68fe7f14a0>,2,False,1
2023-06-06,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,4043.7099999999987,AUTRE,VIREMENT,(pas une dépense),credit,2023,6,6,<built-in method day_name of Timestamp object at 0x7f68fe7f1430>,2,False,1
2023-06-06,CARTE XX XX XX XX XX,-20.4,4719.709999999999,AUTRE,CARTE,petite,debit,2023,6,6,<built-in method day_name of Timestamp object at 0x7f68fe7f13c0>,2,False,1
2023-06-06,CARTE XX XX XX XX XX XX,-10.4,4699.309999999999,AUTRE,CARTE,petite,debit,2023,6,6,<built-in method day_name of Timestamp object at 0x7f68fe7f1350>,2,False,1
2023-06-07,PRELEVEMENT XX TELEPHONE XX XX,-6.38,4688.909999999998,FACTURE TELEPHONE,AUTRE,petite,debit,2023,6,7,<built-in method day_name of Timestamp object at 0x7f68fe7f12e0>,3,False,1
2023-06-12,CARTE XX XX LES ANCIENS ROBINSON XX,-4.63,4682.529999999999,COURSES,CARTE,petite,debit,2023,6,12,<built-in method day_name of Timestamp object at 0x7f68fe7f1270>,1,False,2
2023-06-12,CARTE XX XX TOUPTIPRI XX,-5.88,4677.899999999998,COURSES,CARTE,petite,debit,2023,6,12,<built-in method day_name of Timestamp object at 0x7f68fe7f1200>,1,False,2
2023-06-12,CARTE XX XX TOUPTIPRI XX,-2.51,4672.019999999999,COURSES,CARTE,petite,debit,2023,6,12,<built-in method day_name of Timestamp object at 0x7f68fe7f1190>,1,False,2
2023-06-12,CARTE XX XX LES ANCIENS ROBINSON XX,-26.58,4669.509999999998,COURSES,CARTE,petite,debit,2023,6,12,<built-in method day_name of Timestamp object at 0x7f68fe7f1120>,1,False,2
2023-06-12,CARTE XX XX CHEZ LUC XX,-9.2,4642.9299999999985,RESTAURANT,CARTE,petite,debit,2023,6,12,<built-in method day_name of Timestamp object at 0x7f68fe7f10b0>,1,False,2
2023-06-12,CARTE XX XX XX XX XX XX,-2.32,4633.729999999998,AUTRE,CARTE,petite,debit,2023,6,12,<built-in method day_name of Timestamp object at 0x7f68fe7f1040>,1,False,2
2023-06-13,CARTE XX XX XX XX XX XX,-7.99,4631.409999999998,AUTRE,CARTE,petite,debit,2023,6,13,<built-in method day_name of Timestamp object at 0x7f68fe7f0f90>,2,False,2
2023-06-15,VIREMENT PERMANENT LOYER,-345.0,4623.419999999998,LOYER,VIREMENT,grosse,debit,2023,6,15,<built-in method day_name of Timestamp object at 0x7f68fe7f0f20>,4,False,2
2023-06-15,CARTE XX XX XX XX XX XX XX,-15.99,4278.419999999998,AUTRE,CARTE,petite,debit,2023,6,15,<built-in method day_name of Timestamp object at 0x7f68fe7f0eb0>,4,False,2
2023-06-15,CARTE XX XX XX XX XX,-19.2,4262.4299999999985,AUTRE,CARTE,petite,debit,2023,6,15,<built-in method day_name of Timestamp object at 0x7f68fe7f0e40>,4,False,2
2023-06-16,CARTE XX XX LES ANCIENS ROBINSON XX,-4.39,4243.229999999999,COURSES,CARTE,petite,debit,2023,6,16,<built-in method day_name of Timestamp object at 0x7f68fe7f0dd0>,5,False,2
2023-06-16,CARTE XX XX XX XX XX,-8.0,4238.839999999998,AUTRE,CARTE,petite,debit,2023,6,16,<built-in method day_name of Timestamp object at 0x7f68fe7f0d60>,5,False,2
2023-06-19,CARTE XX XX XX XX XX XX,-2.4,4230.839999999998,AUTRE,CARTE,petite,debit,2023,6,19,<built-in method day_name of Timestamp object at 0x7f68fe7f0cf0>,1,False,3
2023-06-19,CARTE XX XX XX XX XX,-10.2,4228.439999999999,AUTRE,CARTE,petite,debit,2023,6,19,<built-in method day_name of Timestamp object at 0x7f68fe7f0c80>,1,False,3
2023-06-19,CARTE XX XX LA LOUVE XX XX,-18.45,4218.239999999999,COURSES,CARTE,petite,debit,2023,6,19,<built-in method day_name of Timestamp object at 0x7f68fe7f0c10>,1,False,3
2023-06-19,CARTE XX XX LES ANCIENS ROBINSON XX,-9.31,4199.789999999999,COURSES,CARTE,petite,debit,2023,6,19,<built-in method day_name of Timestamp object at 0x7f68fe7f0ba0>,1,False,3
2023-06-19,CARTE XX XX XX XX,-18.24,4190.48,AUTRE,CARTE,petite,debit,2023,6,19,<built-in method day_name of Timestamp object at 0x7f68fe7f0b30>,1,False,3
2023-06-20,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.05,4172.24,AUTRE,CARTE,petite,debit,2023,6,20,<built-in method day_name of Timestamp object at 0x7f68fe7f0ac0>,2,False,3
2023-06-20,CARTE XX XX VELOC XX XX,-29.0,4162.189999999999,TRANSPORT,CARTE,petite,debit,2023,6,20,<built-in method day_name of Timestamp object at 0x7f68fe7f0a50>,2,False,3
2023-06-21,CARTE XX XX XX XX,-2.72,4133.189999999999,AUTRE,CARTE,petite,debit,2023,6,21,<built-in method day_name of Timestamp object at 0x7f68fe7f09e0>,3,False,3
2023-06-22,CARTE XX XX XX XX XX,-7.12,4130.469999999999,AUTRE,CARTE,petite,debit,2023,6,22,<built-in method day_name of Timestamp object at 0x7f68fe7f0970>,4,False,3
2023-06-22,CARTE XX XX XX XX XX,-8.8,4123.349999999999,AUTRE,CARTE,petite,debit,2023,6,22,<built-in method day_name of Timestamp object at 0x7f68fe7f0900>,4,False,3
2023-06-23,CARTE XX XX XX XX XX,-19.84,4114.549999999999,AUTRE,CARTE,petite,debit,2023,6,23,<built-in method day_name of Timestamp object at 0x7f68fe7f0890>,5,False,3
2023-06-23,CARTE XX XX XX XX XX,-10.4,4094.709999999999,AUTRE,CARTE,petite,debit,2023,6,23,<built-in method day_name of Timestamp object at 0x7f68fe7f0820>,5,False,3
2023-06-23,CARTE XX XX XX XX XX XX,-19.36,4084.309999999999,AUTRE,CARTE,petite,debit,2023,6,23,<built-in method day_name of Timestamp object at 0x7f68fe7f07b0>,5,False,3
2023-06-26,CARTE XX XX XX XX,-183.99,4064.949999999999,AUTRE,CARTE,moyenne,debit,2023,6,26,<built-in method day_name of Timestamp object at 0x7f68fe7f0740>,1,False,4
2023-06-26,CARTE XX XX XX XX XX XX,-24.48,3880.959999999999,AUTRE,CARTE,petite,debit,2023,6,26,<built-in method day_name of Timestamp object at 0x7f68fe7f06d0>,1,False,4
2023-06-26,CARTE XX XX XX XX,-96.0,3856.479999999999,AUTRE,CARTE,moyenne,debit,2023,6,26,<built-in method day_name of Timestamp object at 0x7f68fe7f0660>,1,False,4
2023-06-26,CARTE XX XX XX XX XX,-29.52,3760.479999999999,AUTRE,CARTE,petite,debit,2023,6,26,<built-in method day_name of Timestamp object at 0x7f68fe7f05f0>,1,False,4
2023-06-26,CARTE XX XX XX XX XX,-17.2,3730.959999999999,AUTRE,CARTE,petite,debit,2023,6,26,<built-in method day_name of Timestamp object at 0x7f68fe7f0580>,1,False,4
2023-06-26,CARTE XX XX LA LOUVE XX XX,-27.68,3713.7599999999993,COURSES,CARTE,petite,debit,2023,6,26,<built-in method day_name of Timestamp object at 0x7f68fe7f0510>,1,False,4
2023-06-26,CARTE XX XX TOUPTIPRI XX,-6.6,3686.0799999999995,COURSES,CARTE,petite,debit,2023,6,26,<built-in method day_name of Timestamp object at 0x7f68fe7f04a0>,1,False,4
2023-06-26,CARTE XX XX XX XX XX XX,-8.0,3679.4799999999996,AUTRE,CARTE,petite,debit,2023,6,26,<built-in method day_name of Timestamp object at 0x7f68fe7f0430>,1,False,4
2023-06-27,RETRAIT XX XX XX,-40.0,3671.4799999999996,AUTRE,RETRAIT,petite,debit,2023,6,27,<built-in method day_name of Timestamp object at 0x7f68fe7f03c0>,2,False,4
2023-06-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.95,3631.4799999999996,AUTRE,CARTE,petite,debit,2023,6,27,<built-in method day_name of Timestamp object at 0x7f68fe7f0350>,2,False,4
2023-06-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.44,3620.5299999999997,AUTRE,CARTE,petite,debit,2023,6,27,<built-in method day_name of Timestamp object at 0x7f68fe7f02e0>,2,False,4
